,District,Member,Party,Prior experience,Education,Assumed office,Residence,Born,Age,Surname,link,gender
234,Nevada 1,Dina Titus,Democratic,U.S. HouseNevada Senate,College of William & Mary (BA)University of Georgia (MA)Florida State University (PhD),2013,Las Vegas,1950-05-23,71,Titus,/2629/dina-titus,0
235,Nevada 2,Mark Amodei,Republican,Nevada SenateNevada Assembly,"University of Nevada, Reno (BA)University of the Pacific (JD)",2011 (special),Carson City,1958-06-12,63,Amodei,/12537/mark-amodei,1
236,Nevada 3,Susie Lee,Democratic,Education advocate,"Carnegie Mellon University (BA, MS)",2019,Las Vegas,1966-11-07,55,Lee,/169344/susie-lee,0
237,Nevada 4,Steven Horsford,Democratic,U.S. HouseNevada Senate,"University of Nevada, Reno (BA)",2019,Las Vegas,1973-04-29,48,Horsford,/44064/steven-horsford,1
238,New Hampshire 1,Chris Pappas,Democratic,New Hampshire Executive CouncilTreasurer of Hillsborough CountyNew Hampshire House of Representatives,Harvard University (BA),2019,Manchester,1980-06-04,41,Pappas,/42635/chris-pappas,1
239,New Hampshire 2,Ann McLane Kuster,Democratic,AttorneyLobbyist,Dartmouth College (BA)Georgetown University (JD),2013,Hopkinton,1956-09-05,65,Kuster,/122256/ann-kuster,1
240,New Jersey 1,Donald Norcross,Democratic,New Jersey SenateNew Jersey General Assembly,Camden County College,2014 (special),Camden,1958-12-13,63,Norcross,/116277/donald-norcross,1
241,New Jersey 2,Jeff Van Drew,Republican,New Jersey SenateNew Jersey General Assembly,"Rutgers University, New Brunswick (BS)Fairleigh Dickinson University (DMD)",2019,Dennis Township,1953-02-23,68,Drew,/24685/jeff-van-drew,1
242,New Jersey 3,Andy Kim,Democratic,National security adviser,"Deep Springs CollegeUniversity of Chicago (BA)Magdalen College, Oxford (MPhil, DPhil)",2019,Bordentown,1982-07-12,39,Kim,/179640/andy-kim,1
243,New Jersey 4,Chris Smith,Republican,Retail executive,The College of New Jersey (BS),1981,Hamilton Township,1953-03-04,68,Smith,/26952/chris-smith,1
244,New Jersey 5,Josh Gottheimer,Democratic,AttorneyPolitical aide,"University of Pennsylvania (BA)Pembroke College, OxfordHarvard University (JD)",2017,Wyckoff,1975-03-08,46,Gottheimer,/169202/joshua-gottheimer,1
245,New Jersey 6,Frank Pallone,Democratic,New Jersey SenateLong Branch City Council,Middlebury College (BA)Tufts University (MA)Rutgers University–Camden (JD),1988 (special),Long Branch,1951-10-30,70,Pallone,/26951/frank-pallone-jr,1
246,New Jersey 7,Tom Malinowski,Democratic,"Assistant Secretary of State for Democracy, Human Rights, and Labor","University of California, Berkeley (BA)St Antony's College, Oxford (MPhil)",2019,Rocky Hill,1965-10-23,56,Malinowski,/179645/tom-malinowski,1
247,New Jersey 8,Albio Sires,Democratic,Mayor of West New YorkNew Jersey General Assembly,Saint Peter's University (BA)Middlebury College (MA),2006 (special),West New York,1951-01-26,70,Sires,/22510/albio-sires,1
248,New Jersey 9,Bill Pascrell,Democratic,New Jersey General AssemblyMayor of Paterson,"Fordham University (BA, MA)",1997,Paterson,1937-01-25,84,Pascrell,/478/bill-pascrell-jr,1
249,New Jersey 10,Donald Payne Jr.,Democratic,Newark Municipal CouncilEssex County Freeholder,Kean University,2012 (special),Newark,1958-12-17,63,Payne,/90668/don-payne-jr,1
250,New Jersey 11,Mikie Sherrill,Democratic,Assistant United States Attorney for the District of New JerseyU.S. Navy helicopter pilot,United States Naval Academy (BS)London School of Economics (MSc)Georgetown University (JD),2019,Montclair,1972-01-19,49,Sherrill,/179651/mikie-sherrill,0
251,New Jersey 12,Bonnie Watson Coleman,Democratic,New Jersey General Assembly,Rutgers UniversityThomas Edison State University (BA),2015,Ewing Township,1945-02-06,76,Coleman,/24799/bonnie-watson-coleman,1
252,New Mexico 2,Yvette Herrell,Republican,New Mexico House of Representatives,ITT Technical Institute (GrCert),2021,Alamogordo,1964-03-16,57,Herrell,/121681/yvette-herrell,0
253,New Mexico 3,Teresa Leger Fernandez,Democratic,Attorney,Yale University (BA)Stanford University (JD),2021,Santa Fe,1959-07-01,62,Fernandez,/189882/teresa-fernandez,0
254,New York 1,Lee Zeldin,Republican,New York Senate,"University at Albany, SUNY (BA)Union University, New York (JD)",2015,Shirley,1980-01-30,41,Zeldin,/110252/lee-zeldin,1
255,New York 2,Andrew Garbarino,Republican,New York State Assembly,George Washington University (BA)Hofstra University (JD),2021,Sayville,1984-09-27,37,Garbarino,/143103/andrew-garbarino,1
256,New York 3,Thomas Suozzi,Democratic,County Executive of Nassau CountyMayor of Glen Cove,Boston College (BA)Fordham University (JD),2017,Glen Cove,1962-08-31,59,Suozzi,/92111/thomas-suozzi,1
257,New York 4,Kathleen Rice,Democratic,District Attorney of Nassau County,Catholic University of America (BA)Touro College (JD),2015,Garden City,1965-02-15,56,Rice,/127653/kathleen-rice,0
258,New York 5,Gregory Meeks,Democratic,New York State Assembly,Adelphi University (BA)Howard University (JD),1998 (special),Queens,1953-09-25,68,Meeks,/4360/gregory-meeks,1
259,New York 6,Grace Meng,Democratic,New York State Assembly,University of Michigan (BA)Yeshiva University (JD),2013,Queens,1975-10-01,46,Meng,/69157/grace-meng,0
260,New York 7,Nydia Velázquez,Democratic,"Director, Dept. of Puerto Rican Community Affairs","University of Puerto Rico, Río Piedras (BA)New York University (MA)",1993,Brooklyn,1953-03-28,68,Velázquez,/26975/nydia-velazquez,0
261,New York 8,Hakeem Jeffries,Democratic,New York State Assembly,Binghamton University (BA)Georgetown University (MPP)New York University (JD),2013,Brooklyn,1970-08-04,51,Jeffries,/55285/hakeem-jeffries,1
262,New York 9,Yvette Clarke,Democratic,New York City Council,Oberlin CollegeMedgar Evers College,2007,Brooklyn,1964-11-21,57,Clarke,/44741/yvette-clarke,0
263,New York 10,Jerry Nadler,Democratic,New York State Assembly,Columbia University (BA)Fordham University (JD),1992 (special),Manhattan,1947-06-13,74,Nadler,/26980/jerry-nadler,1
264,New York 11,Nicole Malliotakis,Republican,New York State Assembly,Seton Hall University (BA)Wagner College (MBA),2021,Staten Island,1980-11-11,41,Malliotakis,/127929/nicole-malliotakis,0
265,New York 12,Carolyn Maloney,Democratic,New York City Council,Greensboro College (BA),1993,Manhattan,1946-02-19,75,Maloney,/26978/carolyn-maloney,0
266,New York 13,Adriano Espaillat,Democratic,New York State SenateNew York State Assembly,"Queens College, City University of New York (BA)",2017,Manhattan,1954-09-27,67,Espaillat,/14379/adriano-espaillat,1
267,New York 14,Alexandria Ocasio-Cortez,Democratic,BartenderPresidential Campaign staffer,Boston University (BA),2019,The Bronx,1989-10-13,32,Ocasio-Cortez,/180416/alexandria-ocasio-cortez,0
268,New York 15,Ritchie Torres,Democratic,New York City Council,New York University,2021,The Bronx,1988-03-12,33,Torres,/161718/ritchie-torres,1
269,New York 16,Jamaal Bowman,Democratic,Middle school principal,University of New Haven (BA)Mercy College (MA)Manhattanville College (EdD),2021,Yonkers,1976-04-01,45,Bowman,/191205/jamaal-bowman,1
270,New York 17,Mondaire Jones,Democratic,Attorney,Stanford University (BA)Harvard University (JD),2021,Nyack,1987-05-18,34,Jones,/191209/mondaire-jones,1
271,New York 18,Sean Patrick Maloney,Democratic,Attorney,"Georgetown UniversityUniversity of Virginia (BA, JD)",2013,Cold Spring,1966-07-30,55,Maloney,/139760/sean-maloney,1
272,New York 19,Antonio Delgado,Democratic,Attorney,"Colgate University (BA)Queen's College, OxfordHarvard University (JD)",2019,Rhinebeck,1977-01-28,44,Delgado,/180313/antonio-delgado,1
273,New York 20,Paul Tonko,Democratic,New York State Assembly,Clarkson University (BS),2009,Amsterdam,1949-06-18,72,Tonko,/4403/paul-tonko,1
274,New York 21,Elise Stefanik,Republican,Civil servantPolitical activist,Harvard University (BA),2015,Schuylerville,1984-07-02,37,Stefanik,/152539/elise-stefanik,0
275,New York 22,Claudia Tenney,Republican,U.S. HouseNew York State Assembly,Colgate University (BA)University of Cincinnati (JD),2021, New Hartford,1961-02-04,60,Tenney,/127668/claudia-tenney,0
276,New York 23,Tom Reed,Republican,Mayor of Corning,Alfred University (BA)Ohio Northern University (JD),2010 (special),Corning,1971-11-18,50,Reed,/127046/tom-reed-ii,1
277,New York 24,John Katko,Republican,"Attorney, Prosecutor U.S. Attorney's Office",Niagara University (BA)Syracuse University (JD),2015,Syracuse,1962-11-09,59,Katko,/152546/john-katko,1
278,New York 25,Joseph Morelle,Democratic,New York State Assembly,State University of New York at Geneseo (BA),2018 (special),Irondequoit,1957-04-29,64,Morelle,/4362/joe-morelle,1
279,New York 26,Brian Higgins,Democratic,Buffalo Common CouncilNew York State Assembly,"Buffalo State College (BA, MA)Harvard University (MPA)",2005,Buffalo,1959-10-06,62,Higgins,/23127/brian-higgins,1
280,New York 27,Chris Jacobs,Republican,New York State SenateSecretary of State of New YorkErie County Clerk,Boston College (BA)American University (MA)University at Buffalo (JD),2020 (special),Orchard Park,1966-11-28,55,Jacobs,/59772/chris-jacobs,1
281,North Carolina 1,G. K. Butterfield,Democratic,North Carolina Supreme Court Justice,"North Carolina Central University (BA, JD)",2004 (special),Wilson,1947-04-27,74,Butterfield,/41077/gk-butterfield-jr,1
282,North Carolina 2,Deborah Ross,Democratic,North Carolina House of Representatives,Brown University (AB)University of North Carolina at Chapel Hill (JD),2021,Raleigh,1963-06-20,58,Ross,/41560/deborah-ross,0
283,North Carolina 3,Greg Murphy,Republican,North Carolina House of Representatives,Davidson College (BA)University of North Carolina at Chapel Hill (MD),2019 (special),Greenville,1963-03-05,58,Murphy,/166135/greg-murphy,1
284,North Carolina 4,David Price,Democratic,U.S. HouseCollege professor,"Mars Hill UniversityUniversity of North Carolina at Chapel Hill (BA)Yale University (BDiv, PhD)",1997,Chapel Hill,1940-08-17,81,Price,/119/david-price,1
285,North Carolina 5,Virginia Foxx,Republican,North Carolina Senate,"University of North Carolina at Chapel Hill (BA)University of North Carolina at Greensboro (MA, EdD)",2005,Banner Elk,1943-06-29,78,Foxx,/6051/virginia-foxx,0
286,North Carolina 6,Kathy Manning,Democratic,Attorney,Harvard University (AB)University of Michigan (JD),2021,Greensboro,1956-12-03,65,Manning,/178304/kathy-manning,0
287,North Carolina 7,David Rouzer,Republican,North Carolina Senate,North Carolina State University (BS),2015,Wilmington,1972-02-16,49,Rouzer,/102964/david-rouzer,1
288,North Carolina 8,Richard Hudson,Republican,Businessman,University of North Carolina at Charlotte (BA),2013,Concord,1971-11-04,50,Hudson,/136448/richard-hudson-jr,1
289,North Carolina 9,Dan Bishop,Republican,North Carolina SenateNorth Carolina House of Representatives Mecklenburg County Commission,"University of North Carolina at Chapel Hill (BS, JD)",2019 (special),Charlotte,1964-07-01,57,Bishop,/92423/dan-bishop,1
290,North Carolina 10,Patrick McHenry,Republican,North Carolina House of Representatives,North Carolina State UniversityBelmont Abbey College (BA),2005,Lake Norman,1975-10-22,46,McHenry,/21031/patrick-mchenry,1
291,North Carolina 11,Madison Cawthorn,Republican,Congressional staffer[58] Restaurant worker[59],Patrick Henry College,2021,Hendersonville,1995-08-01,26,Cawthorn,/188527/david-cawthorn,1
292,North Carolina 12,Alma Adams,Democratic,North Carolina House of Representatives,"North Carolina A&T State University (BS, MS)Ohio State University (PhD)",2014 (special),Charlotte,1946-05-27,75,Adams,/5935/alma-adams,0
293,North Carolina 13,Ted Budd,Republican,Businessman,Appalachian State University (BS)Dallas Theological Seminary (MA)Wake Forest University (MBA),2017,Advance,1971-10-21,50,Budd,/171489/ted-budd,1
294,North Dakota at-large,Kelly Armstrong,Republican,North Dakota SenateChair of the North Dakota Republican Party,"University of North Dakota (BA, JD)",2019,Dickinson,1976-10-08,45,Armstrong,/139338/kelly-armstrong,1
295,Ohio 1,Steve Chabot,Republican,Cincinnati City CouncilHamilton County CommissionerU.S. House,College of William & Mary (BA)Northern Kentucky University (JD),2011,Cincinnati,1953-01-22,68,Chabot,/21790/steve-chabot,1
296,Ohio 2,Brad Wenstrup,Republican,Physician,"University of Cincinnati (BA)Rosalind Franklin University (BS, DPM)",2013,Cincinnati,1958-06-17,63,Wenstrup,/135326/brad-wenstrup,1
297,Ohio 3,Joyce Beatty,Democratic,Ohio House of Representatives,Central State University (BA)Wright State University (MS)University of Cincinnati,2013,Columbus,1950-03-12,71,Beatty,/2427/joyce-beatty,0
298,Ohio 4,Jim Jordan,Republican,Ohio SenateOhio House of Representatives,University of Wisconsin–Madison (BS)Ohio State University (MA)Capital University (JD),2007,Urbana,1964-02-17,57,Jordan,/8158/jim-jordan,1
299,Ohio 5,Bob Latta,Republican,Wood County CommissionerOhio House of RepresentativesOhio Senate,Bowling Green State University (BA)University of Toledo (JD),2007,Bowling Green,1956-04-18,65,Latta,/9926/bob-latta,1
300,Ohio 6,Bill Johnson,Republican,United States Air Force,Troy University (BS)Georgia Institute of Technology (MS),2011,Marietta,1954-11-10,67,Johnson,/120649/bill-johnson,1
301,Ohio 7,Bob Gibbs,Republican,Ohio SenateOhio House of Representatives,"Ohio State University, Wooster",2011,Lakeville,1954-06-14,67,Gibbs,/45466/bob-gibbs,1
302,Ohio 8,Warren Davidson,Republican,Businessman,United States Military Academy (BS)University of Notre Dame (MBA),2016 (special),Troy,1970-03-01,51,Davidson,/166760/warren-davidson,1
