,State,Senator,Party,Age,Occupation(s),Previous elective,Assumed office,Term up,Residence,Years served,Seniority,Surname,Gender,Party num
91,Virginia,Tim Kaine,Democratic,62,Missionary,Governor of Virginia,2013-01-03,2024-01-01,Richmond,8,0,Kaine,1,1
5,Arizona,Mark Kelly,Democratic,56,U.S. Navy,None,2020-12-02,2022-01-01,Tucson,1,0,Kelly,1,1
35,Louisiana,John Kennedy,Republican,69,Magazine editor,Louisiana Treasurer,2017-01-03,2022-01-01,Madisonville,4,0,Kennedy,1,-1
37,Maine,"Angus King, Jr.",Independent,76,Lawyer,Governor of Maine,2013-01-03,2024-01-01,Brunswick,8,0,King,1,0
44,Minnesota,Amy Klobuchar,Democratic,60,Lawyer,"Hennepin County, Minnesota",2007-01-03,2024-01-01,Minneapolis,14,1,Klobuchar,0,1
71,Oklahoma,James Lankford,Republican,52,Teacher,U.S. House,2015-01-03,2022-01-01,Edmond,6,0,Lankford,1,-1
88,Vermont,Patrick Leahy,Democratic,80,Lawyer,State's Attorney,1975-01-03,2022-01-01,Middlesex,46,1,Leahy,1,1
86,Utah,Mike Lee,Republican,49,Lawyer,Assistant United States Attorney,2011-01-03,2022-01-01,Alpine,10,1,Lee,1,-1
61,New Mexico,"Ben Lujan, Jr.",Democratic,48,Director of Administrative Services and,U.S. House,2021-01-03,2026-01-01,Santa Fe,0,0,Luján,1,1
99,Wyoming,Cynthia Lummis,Republican,66,Lawyer,U.S. House,2021-01-03,2026-01-01,Cheyenne,0,0,Lummis,0,-1
94,West Virginia,Joe Manchin III,Democratic,73,Corporate executive,Governor of West Virginia,2010-11-15,2024-01-01,Charleston,11,1,Manchin,1,1
41,Massachusetts,Ed Markey,Democratic,74,"Member,",U.S. House,2013-07-16,2026-01-01,Malden,8,0,Markey,1,1
31,Kansas,Roger Marshall,Republican,60,Doctor,U.S. House,2021-01-03,2026-01-01,Great Bend,0,0,Marshall,1,-1
54,Nevada,Catherine Cortez Masto,Democratic,56,Lawyer,Nevada Attorney General,2017-01-03,2022-01-01,Las Vegas,4,1,Masto,0,1
32,Kentucky,"Mitch McConnell, Jr.",Republican,78,Lawyer,U.S. Department of Justice Office of Legislative Affairs,1985-01-03,2026-01-01,Louisville,36,1,McConnell,1,-1
58,New Jersey,Bob Menendez,Democratic,67,Lawyer,U.S. House,2006-01-17,2024-01-01,North Bergen,15,1,Menendez,1,1
73,Oregon,Jeff Merkley,Democratic,64,Nonprofit organization executive,Oregon House Speaker,2009-01-03,2026-01-01,Portland,12,0,Merkley,1,1
30,Kansas,Jerry Moran,Republican,66,Banker,U.S. House,2011-01-03,2022-01-01,Manhattan,10,1,Moran,1,-1
2,Alaska,Lisa Murkowski,Republican,63,Lawyer,Alaska House of Representatives,2002-12-20,2022-01-01,Girdwood,19,1,Murkowski,0,-1
13,Connecticut,Chris Murphy,Democratic,47,Lawyer,U.S. House,2013-01-03,2024-01-01,Cheshire,8,0,Murphy,1,1
92,Washington,Patty Murray,Democratic,70,Teacher,Washington Senate,1993-01-03,2022-01-01,Freeland,28,1,Murray,0,1
18,Georgia,Jon Ossoff,Democratic,33,"Journalist,",None,2021-01-20,2026-01-01,Atlanta,0,1,Ossoff,1,1
9,California,Alex Padilla,Democratic,47,Engineer,Secretary of State of California,2021-01-20,2022-01-01,Porter Ranch,0,0,Padilla,1,1
33,Kentucky,Rand Paul,Republican,58,Physician specializing in,None,2011-01-03,2022-01-01,Bowling Green,10,0,Paul,1,-1
43,Michigan,Gary Peters,Democratic,62,United States Navy Reserve officer,U.S. House,2015-01-03,2026-01-01,Bloomfield Hills,6,0,Peters,1,1
69,Ohio,Rob Portman,Republican,65,Lawyer,U.S. House,2011-01-03,2022-01-01,Terrace Park,10,0,Portman,1,-1
76,Rhode Island,Jack Reed,Democratic,71,Lawyer,U.S. House,1997-01-03,2026-01-01,Jamestown,24,1,Reed,1,1
23,Idaho,James Risch,Republican,77,Professor,Governor of Idaho,2009-01-03,2026-01-01,Boise,12,0,Risch,1,-1
87,Utah,Mitt Romney,Republican,73,Businessman,Governor of Massachusetts,2019-01-03,2024-01-01,Holladay,2,0,Romney,1,-1
55,Nevada,Jacky Rosen,Democratic,63,Computer programmer,U.S. House,2019-01-03,2024-01-01,Henderson,2,0,Rosen,0,1
81,South Dakota,Mike Rounds,Republican,66,Businessman,Governor of South Dakota,2015-01-03,2026-01-01,Fort Pierre,6,0,Rounds,1,-1
16,Florida,Marco Rubio,Republican,49,Lawyer,Florida House Speaker,2011-01-03,2022-01-01,Miami,10,1,Rubio,1,-1
89,Vermont,Bernie Sanders,Independent,79,Filmmaker,U.S. House,2007-01-03,2024-01-01,Burlington,14,0,Sanders,1,0
53,Nebraska,Ben Sasse,Republican,48,Management consultant,Assistant Secretary for Planning and Evaluation,2015-01-03,2026-01-01,Fremont,6,0,Sasse,1,-1
20,Hawaii,Brian Schatz,Democratic,48,Teacher,Lieutenant Governor of Hawaii,2012-12-26,2022-01-01,Honolulu,9,1,Schatz,1,1
62,New York,Chuck Schumer,Democratic,70,Lawyer,U.S. House,1999-01-03,2022-01-01,Brooklyn,22,1,Schumer,1,1
17,Florida,Tim Scott,Republican,68,Petty officer third class,Governor of Florida,2019-01-08,2024-01-01,Naples,2,0,Scott,1,-1
79,South Carolina,Rick Scott,Republican,55,Insurance agent,U.S. House,2013-01-03,2022-01-01,Charleston,8,0,Scott,1,-1
56,New Hampshire,Jeanne Shaheen,Democratic,74,Teacher,Governor of New Hampshire,2009-01-03,2026-01-01,Madbury,12,1,Shaheen,0,1
0,Alabama,Richard Shelby,Republican,86,Lawyer,U.S. House,1987-01-03,2022-01-01,Tuscaloosa,34,1,Shelby,1,-1
4,Arizona,Kyrsten Sinema,Democratic,44,Social worker,U.S. House,2019-01-03,2024-01-01,Phoenix,2,1,Sinema,0,1
45,Minnesota,Tina Smith,Democratic,62,Public relations consultant,Lieutenant Governor of Minnesota,2018-01-03,2026-01-01,Minneapolis,3,0,Smith,0,1
42,Michigan,Debbie Stabenow,Democratic,70,Social worker,U.S. House,2001-01-03,2024-01-01,Lansing,20,1,Stabenow,0,1
3,Alaska,Dan Sullivan,Republican,56,U.S. Marine Corps,Alaska Attorney General,2015-01-03,2026-01-01,Anchorage,6,0,Sullivan,1,-1
50,Montana,Jon Tester,Democratic,64,Music teacher,Montana Senate,2007-01-03,2024-01-01,Big Sandy,14,1,Tester,1,1
80,South Dakota,John Thune,Republican,60,Nonprofit organization executive,U.S. House,2005-01-03,2022-01-01,Sioux Falls,16,1,Thune,1,-1
65,North Carolina,Thom Tillis,Republican,60,Business consultant,Speaker of the North Carolina House of Representatives,2015-01-03,2026-01-01,Huntersville,6,0,Tillis,1,-1
75,Pennsylvania,Pat Toomey,Republican,59,Currency trader,U.S. House,2011-01-03,2022-01-01,Zionsville,10,0,Toomey,1,-1
1,Alabama,Tommy Tuberville,Republican,66,American college football coach,None,2021-01-03,2026-01-01,Auburn,0,0,Tuberville,1,-1
90,Virginia,Mark Warner,Democratic,66,Businessman,Governor of Virginia,2009-01-03,2026-01-01,Alexandria,12,1,Warner,1,1
19,Georgia,Raphael Warnock,Democratic,51,Pastor,None,2021-01-20,2022-01-01,Atlanta,0,0,Warnock,1,1
40,Massachusetts,Elizabeth Warren,Democratic,71,Lawyer,COP,2013-01-03,2024-01-01,Cambridge,8,1,Warren,0,1
77,Rhode Island,Sheldon Whitehouse,Democratic,65,Lawyer,Attorney General of Rhode Island,2007-01-03,2024-01-01,Newport,14,0,Whitehouse,1,1
46,Mississippi,Roger Wicker,Republican,69,U.S. Air Force,U.S. House,2007-12-31,2024-01-01,Tupelo,14,1,Wicker,1,-1
72,Oregon,Ron Wyden,Democratic,71,Teacher,U.S. House,1996-02-05,2022-01-01,Portland,25,1,Wyden,1,1
26,Indiana,Todd Young,Republican,48,Marine Corps Officer,U.S. House,2017-01-03,2022-01-01,Greenwood,4,1,Young,1,-1
