person,age,gender,sents,wordcount,noun,verb,adj,adv,intj,pron,wh,conj,prep,short sent,long sent,short word,long word,frag,# diff,% func words,selfish,# unique,% unique no func,% joy,% surprise,% anticipation,% anger,% fear,% trust,% disgust,% sadness,loc fear,glb fear,loc joy,glb joy,loc trust,glb trust,loc surprise,glb surprise,loc disgust,glb disgust,loc anticipation,glb anticipation,loc anger,glb anger,loc sadness,glb sadness,loc valence,glb valence,loc arousal,glb arousal,loc dominance,glb dominance,loc humor,glb humor,loc humor M,glb humor M,loc humor F,glb humor F,loc humor young,glb humor young,loc humor old,glb humor old,% humor,% VAD,short/long,words/sent,conj/sent,verb/noun,noun/pron,% diff w/func,% unique w/func,misc words,% frag,party
Abigail Spanberger,42.0,0.0,15.666666666666666,321.6296296296296,32.6985263137889,14.435193177296402,7.139640219529427,2.7407053160457218,0.03728785697276187,8.516983642227595,1.170328616357867,4.215089285411473,15.883420473019733,1.7407407407407407,13.925925925925926,227.11111111111111,94.51851851851852,1.3703703703703705,169.7037037037037,47.19670909130236,0.5880247998740716,121.74074074074075,34.79806776229256,3.4864391809300055,0.7625257996309732,2.7373571888255204,1.180328188027371,1.8209029352584054,5.37759121281403,0.5290680792553515,1.0913589932462837,0.3483943483305004,0.00817023181573569,0.38822226558239636,0.015001612831146307,0.5230215210983334,0.029310980096739204,0.2978135802469136,0.0024739940536408016,0.2503573599240266,0.002685096654066466,0.46700109890109887,0.013414527711272162,0.30690893535476876,0.005363354526175697,0.33544178844857725,0.005289299216799987,0.6345683972694582,0.23138493259724857,0.4647795949592964,0.16964658849286154,0.6088070515613453,0.22215340141683898,2.144148638083029,0.2906942045598455,2.156167633356904,0.2924212433345903,2.1332825960643826,0.2890867897773192,2.1385303417258115,0.2896482757971075,2.150471356923017,0.2918232353096344,13.54896178388103,36.47714361538313,0.18681244791632082,20.48572454197096,0.49259453730716857,0.45500270257004183,4.2466608967612425,58.294179537955564,43.262696843908365,234.79245472897978,12.42957631516856,-1
Adam Kinzinger,43.0,1.0,19.1,379.93333333333334,30.873492296017425,15.47212015344612,7.246796655456624,3.4700462525654223,0.003770739064856712,6.794229715018689,1.3210814011462526,3.832170597051419,15.30097590100176,2.466666666666667,16.633333333333333,285.3666666666667,94.56666666666666,1.3333333333333333,191.7,48.388544625965906,0.5357534352277026,136.76666666666668,34.02416775866664,2.4553588691402055,0.7337831303553484,2.296328778034356,1.5647532044471835,2.717506425010144,5.691620395647165,0.9295213680761786,1.3989706541953661,0.42061411488247774,0.014232777192785206,0.4260301212621801,0.01085098958908219,0.5287428884816717,0.031616058598300224,0.3230325498575499,0.003278625289165663,0.36871699749596804,0.004697108519623621,0.4581115483785221,0.01134616827494797,0.4285571485312932,0.008896874214443727,0.44800000305250315,0.008255726549095921,0.6017721962656305,0.2101966144366882,0.4827618713446388,0.1684498905835147,0.6086578692786265,0.21277241218327395,2.1514578724911075,0.29461700472080493,2.172327986237345,0.2970718162037437,2.136515202115136,0.2928186393833554,2.1371242056311983,0.292563886777246,2.1652841769246276,0.2965610374625752,13.69917397014578,34.92972961253274,0.20424010613446847,20.304853622138467,0.37915830911887627,0.5222889903053245,5.715296439861872,58.309160177975265,43.49049279803558,295.61864962256476,11.287496060164655,1
Adam Schiff,61.0,1.0,13.09433962264151,293.62264150943395,34.32122317933944,14.012700212512753,6.674304444409941,2.927264243488127,0.003144654088050314,6.353833614709317,1.1362389172764809,3.897147677199795,14.84661660061086,2.056603773584906,11.037735849056604,203.56603773584905,90.05660377358491,1.4339622641509433,157.0566037735849,46.406701612288245,0.502912943102562,112.0,36.267058234061935,2.8609419356337398,0.6772122469273023,2.1552850310560134,1.329894741735793,2.789769767183134,6.290576455495055,0.9702235060202286,1.0957830104234452,0.34338793239994686,0.011983554674669189,0.3877633628864241,0.012335712895875237,0.5314322086767894,0.03480560321210076,0.2854243226898888,0.002685890429716827,0.3274916200152049,0.004802763471931938,0.45282850185577134,0.010727546200575758,0.3682932876757733,0.0071550149514931225,0.3801167149936017,0.006156670498322226,0.6196613812623725,0.23145104183557702,0.46148177068398766,0.17244080916279467,0.6068200517683382,0.2271913141660659,2.1520885762698985,0.27337504559487796,2.185051758755937,0.2774171715820386,2.1287723177498714,0.2704885704644963,2.169000863351542,0.275057681971569,2.12431649877739,0.27058826058504254,12.723756944058291,37.37585821402571,0.3372897847208733,21.186639955526594,0.4810972499192897,0.43888829309154553,10.996344427067015,62.43009199426156,47.47742950154418,209.45016796579924,16.34527474842965,-1
Adam Smith,56.0,1.0,26.195121951219512,534.3658536585366,34.807314137007864,13.64225920010131,6.722918379840973,3.37943785286226,0.012605434007538227,7.377430236495452,1.1694657912773627,3.338179624644193,15.68153367564973,4.487804878048781,21.70731707317073,386.4634146341463,147.90243902439025,4.219512195121951,175.46341463414635,46.22574906091602,0.41798771663995704,115.34146341463415,33.81992855734232,3.340898376177109,1.1282321040764256,2.5623543576202503,1.2725060656167533,2.3856381953280095,7.354777462935896,0.32832986637275563,0.7737257450235271,0.3577899409699845,0.010753774105462846,0.34503590873417295,0.013967605609421996,0.5082861255286159,0.037772944197563864,0.24154473309649058,0.0035800345691180484,0.18687638404955478,0.0014954769587508894,0.40642652583369376,0.012834742604896655,0.27798708418324514,0.005950385318849236,0.20774859307359306,0.002492362513004926,0.6388115038242232,0.23892156282949442,0.4703160249531315,0.1754431109359444,0.6291218097346516,0.2353042267214633,2.121039796944399,0.29441577706402045,2.123676030782024,0.29491233781913245,2.112838562278836,0.29314186884517907,2.1198511813576633,0.2943647202257784,2.120548187193684,0.29417668333690705,13.874867622268262,37.38011825366362,inf,19.8528721330452,0.6447330820040903,0.4656128928309313,inf,59.81061488115664,44.74904265143724,448.23470932665,23.46504350864206,-1
Adrian Smith,51.0,1.0,21.658536585365855,469.0975609756098,31.347563411231715,15.372137721804423,6.778294479869937,5.23533879783669,0.006719075455217363,6.888293662941608,1.0967146061483533,3.4893937879076193,14.791646118560116,2.902439024390244,18.75609756097561,330.0,139.09756097560975,2.5365853658536586,200.9268292682927,48.39667950239354,0.5105716969042083,136.41463414634146,33.19329512059068,2.4834089072749763,1.0117903844871041,2.609944654034718,1.0811253916552612,1.3799533467921319,5.612227400664601,0.5948567670452226,2.0067156047028183,0.28598165083906146,0.00592898418379167,0.36761309714534524,0.010435391332839616,0.48738409962340773,0.027318137272553385,0.23798978966795545,0.003971307722768807,0.19901181979988897,0.002338093908134019,0.4548171975000759,0.012991100072583977,0.23115144837149146,0.004742932097917723,0.29624528694595686,0.006544309847867637,0.608798858740158,0.2233407614439126,0.45003895395426596,0.16572133637917974,0.5852057375042847,0.2155595919317062,2.118794059525713,0.3165167830489284,2.1341284810073278,0.3202386137807977,2.1061708406423074,0.3136806075893839,2.117291210689491,0.3173613357643583,2.1252957129996966,0.315973450421862,14.974327135686682,36.78687589681076,0.35772492622676955,19.52187164364167,0.503676015335726,0.5405878345808035,6.5626949281326725,62.05184680449543,47.222910015394966,384.091459313854,17.886858390609095,1
Adriano Espaillat,67.0,1.0,22.382978723404257,635.7021276595744,33.3110341763373,13.593652006717281,6.094998078710528,3.3972777784295958,0.03801932941135006,7.03445501721948,0.9461307855875202,4.5386919947331625,14.510535134088977,4.595744680851064,17.78723404255319,432.6170212765957,203.08510638297872,4.425531914893617,242.72340425531914,45.9505323925389,0.4978019424019289,157.4468085106383,29.537568219775494,2.9705054128506623,0.9849687244501524,2.4234353871236167,1.5913995394928004,2.152576190141109,5.441172335063284,1.0156403120520814,1.3631481024654057,0.3753700922639502,0.010949034170556414,0.4210996063131118,0.011798809743826027,0.5505664597265948,0.029840668792181203,0.31294345489274933,0.003366522068627895,0.3614290281709792,0.004812882311130629,0.495507587231428,0.012035683683247434,0.37485402273418655,0.007238150462300347,0.38375101705989706,0.00581390356845167,0.6105458964378394,0.21381960739542358,0.4683053570010013,0.1642633842442618,0.6032328137281631,0.21135265776266773,2.1342228207688967,0.29500564841567994,2.1562402703436776,0.29875389224919596,2.119704292864338,0.29245180617145883,2.107126398784992,0.29138140472688967,2.1665862449632014,0.29945497250115166,13.8134416839445,35.06446666152803,0.37288085097525153,37.27647005463016,0.5171858932544755,0.4270795290040113,16.312767619035668,52.90224013727641,38.57353716155714,552.2373333583391,23.134168798607803,-1
Al Green,74.0,1.0,41.064516129032256,562.1612903225806,27.946510433480782,18.47088557360014,4.26355319067735,4.116890997495272,0.028189002852336994,10.066969367744251,2.1678458755568886,3.288221773733522,14.835541497697124,17.06451612903226,24.0,446.06451612903226,116.09677419354838,12.612903225806452,208.32258064516128,54.19189888718676,0.4979721390460918,123.45161290322581,23.062635550092434,3.7914130559606063,0.8630938255987516,2.330549177332013,1.6734595298275476,2.444439265929822,5.217600467250213,1.0612125838135813,1.8050973512237471,0.41118970646158315,0.011985158996591768,0.4261497247729078,0.016700528476386433,0.5247121824704648,0.027704009026612974,0.25251847188842097,0.0031265752342581055,0.38073307251291116,0.005661186440159972,0.464386558312011,0.011939961768079245,0.4104589657616336,0.008248906144210156,0.4470897927881601,0.01009794436885827,0.6232379941636477,0.20681836164594342,0.45759574075450304,0.1520585960583881,0.5808083503755784,0.19359306855584538,2.152974683832878,0.3127530661199262,2.190427139146419,0.31844782533832816,2.130493205909247,0.30941317397649054,2.13053776425902,0.30981123381496645,2.1758675483773295,0.3159302264826217,14.592134551101688,33.180836918408886,1.7089076104712149,16.087235234766684,0.29338684048533975,0.7657210466252994,7.940225052238558,49.46568172953477,31.87579060629078,476.9766826097431,13.601198835307223,-1
Al Lawson,73.0,1.0,12.727272727272727,236.45454545454547,29.986543023410533,15.782224204938181,6.899944817564855,3.9035356295456682,0.0,6.836264435592284,1.783822861721069,3.1159868662176353,15.75272433790481,2.0,10.727272727272727,171.27272727272728,65.18181818181819,1.2727272727272727,131.0909090909091,48.77056761049687,0.5736412280529927,91.9090909090909,32.18472232570221,2.408820778546286,0.578025266623024,2.1407947025566494,1.1322402647200762,1.6895334909022344,4.115066362441202,0.3911020817506515,1.23875714915632,0.3368724025974026,0.006572679502845785,0.45081666666666675,0.011195855113814886,0.47551694000443995,0.02200877870097266,0.287969696969697,0.0022931539984694946,0.1424090909090909,0.0015878607735356947,0.5049045454545454,0.010603762691926217,0.2661233766233766,0.004899806596837523,0.24956818181818183,0.005644084456362237,0.6133565686215198,0.21449507990663347,0.4590364139939318,0.16057389990776166,0.5847470368065112,0.20476928924969037,2.107172874208302,0.28680131148001897,2.0785462134372352,0.2833804989154388,2.123218991169715,0.2887645993345047,2.1035201821996896,0.2856156152116314,2.1033000491221876,0.287021056731633,13.57798636513845,35.017904069284356,inf,20.770628658329194,0.7023954590379706,0.5385068102436654,5.730313687686504,58.66893342793978,42.60211378241335,152.39349927765045,18.59126464741438,-1
Alan Lowenthal,80.0,1.0,17.97142857142857,350.9142857142857,31.29742984269121,15.727213078908985,7.384866212963412,4.315913693503476,0.04644687197689866,6.486714979724815,1.566179014713833,4.081936791078836,14.136537461827086,2.8285714285714287,15.142857142857142,251.82857142857142,99.08571428571429,1.8571428571428572,181.42857142857142,48.0033960383882,0.3390879638284115,129.5142857142857,32.05444492590232,3.1751808492243563,0.7489053855844721,2.2243155666138583,1.4043476567518247,2.225367145027021,5.407720608609517,0.8294689179729987,1.3684209302439012,0.40414972233770374,0.011634579056472463,0.38871696874554024,0.013446984627100617,0.5564103134613084,0.030261553813471245,0.27699833333333335,0.0029581517318389328,0.3157079365079365,0.0035165597436947033,0.46483298764727343,0.01095421249560051,0.3528139849832708,0.006700154252224719,0.35155530096887244,0.007290221556165618,0.6144914562540766,0.22130170575155067,0.4545886765488024,0.16442910714643869,0.5923068544666316,0.213771600755982,2.164947406758877,0.2989585611562938,2.1676784573493895,0.29944496081768107,2.1629025225446576,0.29847088954708084,2.142678563897457,0.2956770658721739,2.186244043899405,0.30196210198675716,13.814971845131518,36.072476941011224,0.2966481339051986,18.96626506347277,0.28524820814994123,0.5290972596841217,6.456696457788979,57.2024903696711,42.1062844672229,265.87104776689716,14.00399007099101,-1
Albio Sires,70.0,1.0,18.153846153846153,533.3589743589744,32.922314314398655,13.857319874853614,7.677974837419902,2.6677335738002648,0.019724606013022086,5.536641198677368,1.2420422971357765,4.030791287345157,15.63945740206282,3.4871794871794872,14.666666666666666,364.97435897435895,168.3846153846154,3.6923076923076925,238.23076923076923,45.57445795833333,0.44870818116108807,162.4102564102564,30.775867909434517,3.7981739975468782,1.114485282406885,2.8502584964281996,1.253216141268639,2.463758609907707,6.549804340466484,0.8602020755371549,1.4611911571106206,0.5016376928010261,0.013120907093950444,0.4371573850832674,0.01704455416456009,0.5436949017090164,0.03599186555768574,0.30704601607542786,0.0038292051172498774,0.35785442982942983,0.004154975433897493,0.4823858629430805,0.013749034009220668,0.4612384691311816,0.006584741421825982,0.4765538483230243,0.008269916985255192,0.6260959897039654,0.22459474619237602,0.46971314617532994,0.16855039506915298,0.60994152412734,0.21870848422382055,2.1264067794002424,0.2742795111577613,2.1461761478402015,0.27676024547519396,2.1124314486752405,0.27250020158453747,2.100608417724251,0.2711176582570417,2.151715198868231,0.2773947630860683,12.915986223309195,35.86600547613762,0.284773037455616,41.378078418124765,0.4624232643651099,0.4304946635072338,14.824533484636792,53.58109916400772,38.552724847222024,449.7649749672679,21.386912042639153,-1
